#displacement, SFE_mJ_per_m2
-0.00143, 0.00395027511033905
-0.00286, 0.0355881268692556
-0.00429, 0.142555407998938
-0.00572, 0.396650201936619
-0.00715, 0.894010885215119
-0.00858, 1.75501819335026
-0.01001, 3.12365382888691
-0.01144, 5.16593356857511
-0.01287, 8.06306759717452
-0.0143, 12.0197848255703
-0.01573, 17.2733014767045
-0.01716, 24.0840696617402
-0.01859, 32.733025152911
-0.02002, 43.4834620133267
-0.02145, 56.5234165715007
-0.02288, 71.9895990451587
-0.02431, 89.9595903009728
-0.02574, 110.437943903779
-0.02717, 133.33869569599
-0.0286, 158.462489973457
-0.03003, 185.474351834455
-0.03146, 213.922160046036
-0.03289, 243.281312487887
-0.03432, 272.664264055217
-0.03575, 300.841772061779
-0.03718, 328.215361865836
-0.03861, 355.133634810212
-0.04004, 381.771919999038
-0.04147, 408.291161564123
-0.0429, 434.881653213082
-0.04433, 461.775704307074
-0.04576, 488.941306713463
-0.04719, 515.199433990212
-0.04862, 538.632540108498
-0.05005, 558.388527944443
-0.05148, 574.370365325375
-0.05291, 586.747160886337
-0.05434, 595.775824199483
-0.05577, 601.763694658619
-0.0572, 605.082381331608
-0.05863, 606.335176037118
-0.06006, 605.685427085874
-0.06149, 602.829588344904
-0.06292, 596.715390364134
-0.06435, 586.170370985348
-0.06578, 569.918256409785
-0.06721, 546.472716756417
-0.06864, 514.438230493048
-0.07007, 474.60594395934
-0.0715, 431.36361286267
-0.07293, 385.47635228941
-0.07436, 335.314372078765
-0.07579, 278.480303984829
-0.07722, 211.32692285806
-0.07865, 140.770084344378
-0.08008, 76.0710318298154
-0.08151, 27.2461944110105
-0.08294, 2.48660412462614
